date,SP500_Close,VIX_Close,n_tweets,n_original,n_retweet,avg_favorites,avg_retweets
2017-01-20,2271.31005859375,11.539999961853027,13.0,13.0,0.0,124865.69230769231,26730.923076923078
2017-01-23,2265.199951171875,11.770000457763672,8.0,7.0,1.0,173448.0,33070.625
2017-01-24,2280.070068359375,11.06999969482422,4.0,4.0,0.0,106836.75,17718.0
2017-01-25,2298.3701171875,10.8100004196167,8.0,8.0,0.0,118534.625,24236.25
2017-01-26,2296.679931640625,10.630000114440918,11.0,11.0,0.0,75217.36363636363,14358.272727272728
2017-01-27,2294.68994140625,10.579999923706056,7.0,7.0,0.0,102844.0,19421.714285714286
2017-01-30,2280.89990234375,11.880000114440918,19.0,19.0,0.0,112396.15789473684,22418.263157894737
2017-01-31,2278.8701171875,11.989999771118164,3.0,3.0,0.0,129918.33333333333,26275.0
2017-02-01,2279.550048828125,11.8100004196167,4.0,4.0,0.0,141528.25,23943.25
2017-02-02,2280.85009765625,11.93000030517578,8.0,8.0,0.0,108879.25,23129.25
2017-02-03,2297.419921875,10.970000267028809,7.0,7.0,0.0,132256.85714285713,29361.14285714286
2017-02-06,2292.56005859375,11.369999885559082,21.0,21.0,0.0,111337.90476190476,22434.85714285714
2017-02-07,2293.080078125,11.289999961853027,5.0,5.0,0.0,90773.4,19015.8
2017-02-08,2294.669921875,11.449999809265137,11.0,11.0,0.0,86897.54545454546,17649.363636363636
2017-02-09,2307.8701171875,10.880000114440918,8.0,8.0,0.0,92619.0,18752.625
2017-02-10,2316.10009765625,10.850000381469728,3.0,3.0,0.0,100379.66666666667,21754.333333333332
2017-02-13,2328.25,11.06999969482422,21.0,20.0,1.0,77775.04761904762,13254.285714285714
2017-02-14,2337.580078125,10.739999771118164,6.0,6.0,0.0,64960.833333333336,12288.5
2017-02-15,2349.25,11.970000267028809,11.0,11.0,0.0,76338.18181818182,19422.81818181818
2017-02-16,2347.219970703125,11.760000228881836,6.0,6.0,0.0,92734.0,17601.166666666668
2017-02-17,2351.159912109375,11.489999771118164,8.0,8.0,0.0,81055.625,15617.125
2017-02-21,2365.3798828125,11.56999969482422,12.0,12.0,0.0,92261.33333333333,17440.25
2017-02-22,2362.820068359375,11.739999771118164,2.0,2.0,0.0,83388.5,11377.0
2017-02-23,2363.81005859375,11.710000038146973,1.0,1.0,0.0,47681.0,8509.0
2017-02-24,2367.340087890625,11.470000267028809,6.0,6.0,0.0,71964.5,13591.5
2017-02-27,2369.75,12.09000015258789,13.0,13.0,0.0,94070.0,19632.153846153848
2017-02-28,2363.639892578125,12.920000076293944,1.0,1.0,0.0,70547.0,8987.0
2017-03-01,2395.9599609375,12.539999961853027,3.0,3.0,0.0,85797.0,11923.333333333334
2017-03-02,2381.919921875,11.8100004196167,1.0,1.0,0.0,150187.0,30337.0
2017-03-03,2383.1201171875,10.960000038146973,13.0,13.0,0.0,73313.92307692308,17454.0
2017-03-06,2375.31005859375,11.239999771118164,14.0,14.0,0.0,102436.21428571429,27821.0
2017-03-07,2368.389892578125,11.449999809265137,8.0,8.0,0.0,81224.625,15814.5
2017-03-08,2362.97998046875,11.859999656677246,6.0,6.0,0.0,77215.5,14168.166666666666
2017-03-09,2364.8701171875,12.300000190734863,4.0,3.0,1.0,50063.75,12733.75
2017-03-10,2372.60009765625,11.65999984741211,3.0,1.0,2.0,12072.0,7437.666666666667
2017-03-13,2373.469970703125,11.350000381469728,7.0,6.0,1.0,51026.857142857145,9633.285714285714
2017-03-14,2365.449951171875,12.300000190734863,2.0,2.0,0.0,68388.0,14807.0
2017-03-15,2385.260009765625,11.630000114440918,7.0,7.0,0.0,73689.42857142857,15191.42857142857
2017-03-16,2381.3798828125,11.210000038146973,7.0,6.0,1.0,51339.0,9977.0
2017-03-17,2378.25,11.279999732971191,9.0,4.0,5.0,23817.222222222223,8156.111111111111
2017-03-20,2373.469970703125,11.34000015258789,10.0,10.0,0.0,65028.3,13264.8
2017-03-21,2344.02001953125,12.470000267028809,4.0,4.0,0.0,52230.5,10210.5
2017-03-22,2348.449951171875,12.8100004196167,1.0,1.0,0.0,76342.0,10554.0
2017-03-23,2345.9599609375,13.119999885559082,7.0,5.0,2.0,53997.42857142857,14986.0
2017-03-24,2343.97998046875,12.960000038146973,4.0,4.0,0.0,60708.0,11941.0
2017-03-27,2341.590087890625,12.5,6.0,6.0,0.0,72388.33333333333,14069.5
2017-03-28,2358.570068359375,11.529999732971191,10.0,10.0,0.0,56779.9,12856.1
2017-03-29,2361.1298828125,11.420000076293944,4.0,4.0,0.0,56374.75,10978.25
2017-03-30,2368.06005859375,11.539999961853027,9.0,9.0,0.0,36371.444444444445,7462.111111111111
2017-03-31,2362.719970703125,12.369999885559082,8.0,8.0,0.0,47337.75,9899.25
2017-04-03,2358.840087890625,12.380000114440918,19.0,18.0,1.0,57621.26315789474,13641.157894736842
2017-04-04,2360.159912109375,11.789999961853027,4.0,3.0,1.0,28809.5,8290.0
2017-04-05,2352.949951171875,12.890000343322754,1.0,1.0,0.0,57451.0,10675.0
2017-04-06,2357.489990234375,12.390000343322754,2.0,2.0,0.0,61354.0,13662.5
2017-04-07,2355.5400390625,12.869999885559082,1.0,0.0,1.0,0.0,12596.0
2017-04-10,2357.159912109375,14.050000190734863,10.0,10.0,0.0,67045.6,11897.0
2017-04-11,2353.780029296875,15.06999969482422,5.0,4.0,1.0,53965.0,16271.6
2017-04-12,2344.929931640625,15.770000457763672,6.0,6.0,0.0,59014.166666666664,10582.833333333334
2017-04-13,2328.949951171875,15.960000038146973,4.0,4.0,0.0,93009.0,19327.5
2017-04-17,2349.010009765625,14.65999984741211,16.0,13.0,3.0,52555.625,12417.6875
2017-04-18,2342.18994140625,14.420000076293944,7.0,7.0,0.0,45882.0,10108.42857142857
2017-04-19,2338.169921875,14.93000030517578,4.0,4.0,0.0,52818.5,10757.0
2017-04-20,2355.840087890625,14.149999618530272,4.0,4.0,0.0,46298.25,9456.0
2017-04-21,2348.68994140625,14.630000114440918,5.0,4.0,1.0,48595.6,12097.2
2017-04-24,2374.14990234375,10.84000015258789,24.0,21.0,3.0,41862.708333333336,8800.916666666666
2017-04-25,2388.610107421875,10.760000228881836,5.0,5.0,0.0,46515.6,10130.4
2017-04-26,2387.449951171875,10.850000381469728,9.0,9.0,0.0,45234.77777777778,9799.888888888889
2017-04-27,2388.77001953125,10.359999656677246,12.0,12.0,0.0,45495.666666666664,9982.583333333334
2017-04-28,2384.199951171875,10.81999969482422,4.0,3.0,1.0,42364.75,10551.5
2017-05-01,2388.330078125,10.109999656677246,12.0,10.0,2.0,43730.833333333336,9908.583333333334
2017-05-02,2391.169921875,10.59000015258789,4.0,4.0,0.0,44226.5,9789.25
2017-05-03,2388.1298828125,10.68000030517578,4.0,4.0,0.0,50092.25,11083.75
2017-05-04,2389.52001953125,10.460000038146973,10.0,9.0,1.0,36349.1,8776.4
2017-05-05,2399.2900390625,10.56999969482422,10.0,10.0,0.0,47984.6,9445.0
2017-05-08,2399.3798828125,9.770000457763672,17.0,14.0,3.0,39228.76470588235,10635.70588235294
2017-05-09,2396.919921875,9.960000038146973,2.0,2.0,0.0,41110.0,7900.0
2017-05-10,2399.6298828125,10.210000038146973,11.0,9.0,2.0,49327.27272727273,13435.818181818182
2017-05-11,2394.43994140625,10.600000381469728,6.0,6.0,0.0,62093.166666666664,18166.5
2017-05-12,2390.89990234375,10.399999618530272,9.0,9.0,0.0,63877.11111111111,15052.333333333334
2017-05-15,2402.320068359375,10.420000076293944,6.0,6.0,0.0,50231.666666666664,9081.833333333334
2017-05-16,2400.669921875,10.649999618530272,6.0,6.0,0.0,60811.333333333336,14345.333333333334
2017-05-17,2357.030029296875,15.59000015258789,1.0,1.0,0.0,58831.0,10836.0
2017-05-18,2365.719970703125,14.65999984741211,4.0,4.0,0.0,69809.0,18982.25
2017-05-19,2381.72998046875,12.039999961853027,3.0,3.0,0.0,56478.333333333336,10681.0
2017-05-22,2394.02001953125,10.93000030517578,7.0,5.0,2.0,41018.42857142857,18737.571428571428
2017-05-23,2398.419921875,10.720000267028809,4.0,4.0,0.0,83014.5,17334.75
2017-05-24,2404.389892578125,10.020000457763672,2.0,2.0,0.0,72393.0,14809.5
2017-05-25,2415.070068359375,9.989999771118164,4.0,3.0,1.0,37783.75,9648.0
2017-05-26,2415.820068359375,9.8100004196167,4.0,4.0,0.0,57600.75,11510.75
2017-05-30,2412.909912109375,10.380000114440918,30.0,28.0,2.0,51663.23333333333,11191.6
2017-05-31,2411.800048828125,10.40999984741211,9.0,9.0,0.0,89243.66666666667,32934.0
2017-06-01,2430.06005859375,9.890000343322754,5.0,5.0,0.0,70027.6,16152.8
2017-06-02,2439.070068359375,9.75,10.0,2.0,8.0,20372.7,10606.1
2017-06-05,2436.10009765625,10.06999969482422,15.0,14.0,1.0,92805.46666666666,24959.266666666666
2017-06-06,2429.330078125,10.449999809265137,10.0,8.0,2.0,60799.1,18782.5
2017-06-07,2433.139892578125,10.390000343322754,5.0,5.0,0.0,63438.2,13285.2
2017-06-08,2433.7900390625,10.15999984741211,0.0,0.0,0.0,0.0,0.0
2017-06-09,2431.77001953125,10.699999809265137,7.0,6.0,1.0,60519.142857142855,15057.142857142857
2017-06-12,2429.389892578125,11.460000038146973,14.0,12.0,2.0,59730.71428571428,13753.57142857143
